;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;47.55;7.5831;;0.992985326;0.377250677;0;0.206570771;0.643510271;0.205870065;0;0.636300883
2;46.25;6.1331;;1.06586686;0.407591546;1;0.022042346;0.670852867;0.185231551;0;0.083147188
3;46.2;6.15;;0.995338311;0.428987036;0;0.306987001;0.72479101;0.184332363;0;0.233123667
4;46;8.9667;;0.958713628;0.382859924;0;0.07448832;0.645875677;0.138155521;1;0.004367774
5;46.82;6.95;;1.048371387;0.391565039;0;0.099382656;0.638387001;0.185272145;0;0.582794016
6;47.25;9.35;;0.972200784;0.272260648;1;0.016381923;0.660310799;0.239359416;1;0.000434041
7;46.2167;7.3331;;1.248045496;0.547381007;0;0.575822265;0.70026094;0.16667649;1;0.000932883
8;46.6;10.433;;1.413074808;0.507618989;0;0.861561248;0.397291814;0.16082288;0;0.478982769
9;47.3831;8.5667;;1.072899604;0.361805386;1;0.006805007;0.675100613;0.222913519;1;0.004601483
