ID;;;;;;Name;
73;19310101;20171005;340;48.6159;13.0506;Aldersbach-Kriestorf;Bayern
74;19310101;19681230;428;49.05;10.8667;Alesheim;Bayern
75;19510101;19861231;486;48.8412;9.7267;Alfdorf;Baden-Wurttemberg
76;19870101;20031231;493;48.8354;9.6842;Alfdorf-Pfahlbronn;Baden-Wurttemberg
77;19310101;20071031;90;51.9917;9.8194;Alfeld or Leine;Niedersachsen
78;19610101;20171005;65;52.4853;7.9126;Alfhausen;Niedersachsen
79;19310101;20171003;160;50.6718;7.0155;Alfter-Volmershoven;Nordrhein-Westfalen
80;19610101;20041231;195;51.0518;9.6617;Alheim-Heinebach;Hessen
81;19410101;19991231;378;51.059;8.6521;Allendorf or Eder-Osterfeld;Hessen
82;19510101;19701230;18;53.0333;9.1833;Allerdorf;Niedersachsen
83;19690101;20021231;135;52.213;11.1414;Alleringersleben;Sachsen-Anhalt
84;19510101;20051231;385;49.2507;11.243;Allersberg;Bayern
85;19690101;20000131;458;51.6765;10.9694;Allrode;Sachsen-Anhalt
86;19690101;20011231;140;51.3998;11.3889;Allstedt;Sachsen-Anhalt
87;19470101;20171005;158;51.095;11.0479;Alperstedt;Thuringen
88;19881201;20031231;400;48.3226;8.3944;Alpirsbach(Klaranlage);Baden-Wurttemberg
89;19510101;19701230;146;49.7167;7.8167;Alsenz;Rheinland-Pfalz
91;19781101;20171005;300;50.7446;9.345;Alsfeld-Eifa;Hessen
92;19310101;19951130;395;50.7638;9.4031;Alsfeld-Lingelbach;Hessen
93;19710101;19991231;269;50.7691;9.2542;Alsfeld-Reibertenrod;Hessen
94;19690101;20051231;52;53.3096;11.3133;AltKrenzlin-KrenzlinerHutte;Mecklenburg-Vorpommern
95;19690101;20031231;62;52.378;14.2317;AltMadlitz;Brandenburg
96;19690101;20011231;40;52.9479;12.8622;AltRuppin;Brandenburg
97;19840101;20051231;50;52.4275;14.442;AltZeschdorf;Brandenburg
99;19690101;20021231;185;52.0728;11.2475;Altbrandsleben;Sachsen-Anhalt
100;19520701;20051231;85;51.6504;14.0318;Altdobern;Brandenburg
101;19310101;20020531;423;49.3864;11.3705;Altdorf;Bayern
103;19780101;20171005;364;48.896;12.217;Hagelstadt;Bayern
104;19610101;20061231;196;51.2856;7.6922;AltenainWestfalen;Nordrhein-Westfalen
105;19410101;20171004;195;50.4844;6.9712;Ahrbruck;Rheinland-Pfalz
107;19310101;19810331;460;51.8;10.4333;Altenau(A);Niedersachsen
108;19610101;19950630;635;51.8333;10.5333;Altenau-Bastesiedlung;Niedersachsen
109;19610101;19951231;800;51.8012;10.5379;Altenau-Torfhaus or Harz;Niedersachsen
110;19310101;20171004;65;52.0483;7.4881;Altenberge;Nordrhein-Westfalen
111;19690101;20061231;300;51.7273;10.9362;Altenbrak;Sachsen-Anhalt
112;19690101;20041231;430;51.739;10.8965;Altenbrak(RappbodeTalsperre);Sachsen-Anhalt
113;19690101;20011231;425;51.7365;10.9569;Altenbrak-Todtenrode;Sachsen-Anhalt
115;19690101;20041231;353;51.7412;10.919;Altenbrak-Wendefurth;Sachsen-Anhalt
117;19510101;20071231;520;50.5605;10.7179;Altendambach;Thuringen
118;19510101;20171005;391;49.4053;12.2852;Altendorf;Bayern
119;19510101;20051231;7;54.2756;12.7514;Altenhagen-Starkow;Mecklenburg-Vorpommern
120;19810101;20051231;50;52.9136;13.7118;Altenhof;Brandenburg
121;19310101;20171004;218;50.6654;7.5765;Neitersen;Rheinland-Pfalz
122;19410101;20061231;61;53.1471;10.6195;Altenmedingen-Eddelstorf;Niedersachsen
123;19780101;19860228;470;49.7667;12.0833;Altenparkstein;Bayern
124;19690101;20171005;265;51.2388;11.577;Bibra,Bad-Altenroda;Sachsen-Anhalt
127;19310101;20021231;594;48.6171;8.6501;Altensteig-Wart;Baden-Wurttemberg
128;19510101;20171004;518;49.0951;12.3032;Altenthann;Bayern
129;19510101;20171004;33;53.6893;13.242;Altentreptow;Mecklenburg-Vorpommern
130;19410101;20171005;300;49.7283;9.7692;Altertheim-Oberaltertheim;Bayern
131;19690101;20171005;296;51.0881;12.9326;Geringswalde-Altgeringswalde;Sachsen
132;19531211;19870930;750;49.7725;12.3891;Altglashutte;Bayern
133;19310101;20031231;530;48.7359;8.7493;Althengstett-Ottenbronn;Baden-Wurttemberg
134;19791001;19851231;785;49.3333;12.7667;AlthuttebeiWaldmunchen;Bayern
135;19780101;19911231;232;50.9333;12.35;Altkirchen;Thuringen
137;19780101;19890930;825;49.1762;13.1315;Altlohberghutte;Bayern
138;19510101;19900630;430;48.8821;11.7114;Altmannstein-Laimerstadt;Bayern
139;19510101;20050930;530;48.9437;11.5694;Altmannstein-Pondorf;Bayern
140;19710101;20021231;35;52.6861;11.4272;Altmersleben;Sachsen-Anhalt
141;19510101;20041231;207;50.9932;12.5731;Altmorbitz,TalsperreSchombach;Sachsen
142;19550101;20171005;510;48.406;11.3117;Altomunster-Maisbrunn;Bayern
143;19510101;20051231;505;48.4012;11.1984;Altomunster-Wollomoos;Bayern
144;19690101;20031231;6;52.7642;14.1664;Altreetz;Brandenburg
145;19410101;20171004;642;47.7985;10.2538;Altusried-Krugzell;Bayern
146;19310101;20171005;730;47.7922;10.0988;Altusried-Muthmannshofen;Bayern
147;19690101;20011231;9;53.7171;13.8351;Altwigshagen;Mecklenburg-Vorpommern
148;19510101;19831031;33;53.8;9.9;Alveslohe;Schleswig-Holstein
149;19810701;20171004;111;50.0888;9.0598;Alzenau;Bayern
150;19510101;20171005;215;49.7273;8.1164;Alzey;Rheinland-Pfalz
151;19470101;20171005;383;49.4691;11.8546;Amberg-Unterammersricht;Bayern
152;19710101;20120111;57;53.1268;10.2184;Amelinghausen;Niedersachsen
153;19820301;20051231;530;48.0027;12.3132;Amerang-Kammer;Bayern
154;19940101;20171005;515;48.0197;12.2924;Amerang-Pfaffing;Bayern
155;19410101;20170630;492;48.7258;10.4915;Amerdingen;Bayern
156;19080101;20061231;96;51.777;11.5744;Amesdorf-Warmsdorf;Sachsen-Anhalt
158;19410101;20171005;210;50.784;8.9545;Amoneburg-Rudigheim;Hessen
159;19710101;20030731;181;49.6403;9.2295;Amorbach;Bayern
160;19710101;20171004;682;47.9636;11.1778;Andechs-Erling;Bayern
161;19310101;20171005;75;50.4237;7.4202;Andernach;Rheinland-Pfalz
162;19410101;20051231;690;47.8013;12.8984;Anger-Oberhogl;Bayern
163;19510101;20171004;830;47.803;12.8192;Anger-Stoissberg;Bayern
164;19510101;20171005;54;53.0316;13.9907;Angermunde;Brandenburg
165;19690101;20061231;50;52.3611;11.7346;Angern;Sachsen-Anhalt
166;19690101;19910131;108;51.4667;11.9;Angersdorf;Sachsen-Anhalt
167;19510101;20171005;9;53.8412;13.6846;Anklam;Mecklenburg-Vorpommern
168;19510101;19990531;62;52.5461;7.8763;Ankum;Niedersachsen
169;19470101;20021231;630;50.573;13.0053;Annaberg-Buchholz;Sachsen
170;19010601;20171004;76;51.7309;13.0546;Annaburg;Sachsen-Anhalt
172;19510101;19911130;395;52.2486;9.5056;Annaturm;Niedersachsen
173;19510101;20011231;200;49.2028;7.9719;Annweiler;Rheinland-Pfalz
174;19840301;19871231;250;49.1886;7.9766;Annweiler-Bindersbach;Rheinland-Pfalz
175;19510101;19760430;413;49.2964;10.5751;Ansbach;Bayern
177;19470501;19571030;418;49.3158;10.5815;Ansbach-Hennenbach;Bayern
178;19860401;20171004;418;49.2993;10.5354;Ansbach-Schalkhausen;Bayern
179;19410101;20051130;664;47.8963;10.932;Apfeldorf;Bayern
180;19510101;20001231;205;51.0306;11.505;Apolda;Thuringen
182;19510101;20170731;33;52.8802;11.4841;Arendsee or Altmark,Luftkurort;Sachsen-Anhalt
183;19510101;20171005;42;54.6792;13.4343;Arkona;Mecklenburg-Vorpommern
184;19690101;20021231;55;52.6769;12.0077;Arneburg;Sachsen-Anhalt
185;19460101;19761231;3;54.6289;9.9294;Arnis;Schleswig-Holstein
186;19410101;19980930;218;51.3773;8.0713;Arnsberg;Nordrhein-Westfalen
187;19410101;20171004;265;51.4188;7.9126;Arnsberg-Holzen;Nordrhein-Westfalen
188;19690101;19901231;267;50.85;10.9667;Arnstadt;Thuringen
189;19410101;20051231;265;50.027;9.9771;Arnstein-Altbessingen;Bayern
190;19710101;20021231;202;49.9745;9.9332;Arnstein-Marbach;Bayern
191;19860401;20171005;220;49.9695;9.9113;Arnstein-Mudesheim;Bayern
192;19410101;20051231;385;48.5565;12.8126;Arnstorf;Bayern
193;19680101;19971031;232;51.3845;9.082;Arolsen-NeuBerich;Hessen
194;19310101;20171005;265;51.3431;9.0763;Arolsen-Landau;Hessen
196;19410101;19961231;248;51.4333;9.0167;Arolsen-Schmillinghausen,Bad;Hessen
198;18900801;20171005;164;51.3745;11.292;Artern;Thuringen
199;19310101;20061231;6;53.3752;10.4795;Artlenburg;Niedersachsen
200;19510101;20171005;517;50.085;6.3161;Lauperath-Scheidchen;Rheinland-Pfalz
201;19510101;20170731;255;50.6661;7.4459;Asbach;Rheinland-Pfalz
202;19410101;20171004;110;49.9778;9.1114;Aschaffenburg;Bayern
203;19310101;20171004;607;47.786;12.3368;Aschau-Innerkoy;Bayern
204;19310101;20170731;731;47.7002;12.2731;Aschau-Sachrang;Bayern
205;19310101;20171005;680;47.7274;12.2982;Aschau-Stein;Bayern
206;19510101;19751231;3;53.05;7.3333;Aschendorf;Niedersachsen
207;18970501;20030930;105;51.7498;11.4667;Aschersleben;Sachsen-Anhalt
208;19480701;20011231;100;51.4887;11.6679;Aseleben;Sachsen-Anhalt
209;19810901;20031231;318;48.9957;9.3933;Aspach-AllmersbachamWeinberg;Baden-Wurttemberg
211;19810901;20171005;200;50.58;8.4685;AsslarKlein-Altenstadten;Hessen
