;latitude;longtitude;;r_wet;p_wet;;;r_dry;p_dry;;
1;47.433;19.183;;0.742352875;0.410535724;0;;0.435465123;0.132934607;1;0.046909844
2;47.489;21.615;;0.737988177;0.403869996;0;;0.433813051;0.140861294;0;0.895107394
3;48.083;20.767;;0.826791265;0.436616653;0;;0.436977688;0.130815101;0;0.920908312
4;46.45;16.967;;0.873210647;0.440827437;0;;0.434355773;0.147642699;0;0.256078205
5;46;18.23;;0.899936082;0.448950189;0;0.641798708;0.407861897;0.124613573;0;0.58749208
6;46.25;20.1;;0.865592902;0.462556882;0;;0.410611965;0.129547276;0;0.799490735
